PO Line: Name,Item: Name,Division,Qty Received,"Qty Remaining, PO Line",Dock Date,Item: PO Commodity Code
PO-4900000757-94,EY-8546-T,SOYPS,100,0,2022-01-27,
PO-4900000598-35,ZR-40573-G,SOYPS,1180,0,2022-06-02,
PO-4900000137-85,ZYPA-107-BC,SOYPS,4521,0,2022-12-15,
PO-4900000757-24,NWU-813-KA,SOYPS,494,0,2022-05-06,
PO-4900000598-38,LO-458-IC,SOYPS,4994,0,2022-02-10,
PO-4900000626-35,EVPKN-4805-K,SOYPS,2798,0,2022-03-22,
PO-4900000137-23,ZXT-0324-V,SOYPS,2109,0,2022-03-28,
PO-4900000598-37,EWPWNO-57826-T,SOYPS,2851,0,2022-01-28,
PO-4900000544-23,OYTQQV-5627-II,SOYPS,719,0,2022-07-30,
PO-4900000598-75,TDDWMP-21780-BF,SOYPS,4219,0,2022-01-04,
PO-4900000626-95,AWUGZ-152-V,SOYPS,4045,0,2022-07-03,
PO-4900000473-38,GI-306-C,SOYPS,658,0,2022-01-26,
PO-4900000713-77,STH-316-C,SOYPS,2431,0,2022-04-24,
PO-4900000757-38,SYQSA-54193-L,SOYPS,3484,0,2022-06-06,
PO-4900000356-75,CQS-5246-L,SOYPS,3926,0,2022-11-10,
PO-4900000713-38,VOOFUX-8485-AJ,SOYPS,3387,0,2022-03-01,
PO-4900000356-94,GI-536-WP,SOYPS,3646,0,2022-10-28,
PO-4900000876-23,AA-535873-T,SOYPS,1657,0,2022-11-11,
PO-4900000598-23,OPNM-766972-N,SOYPS,385,0,2022-02-06,
PO-4900000598-43,CLDGGZ-135-L,SOYPS,1341,0,2022-11-20,
PO-4900000252-38,HLKTY-31316-GH,SOYPS,679,0,2022-07-23,
PO-4900000626-23,LXKT-0324-H,SOYPS,496,0,2022-11-03,
PO-4900000733-43,FG-722708-CG,SOYPS,1848,0,2022-05-09,
PO-4900000137-66,QSNMLU-844713-Y,SOYPS,3765,0,2022-08-10,
PO-4900000713-66,COF-5627-AJ,SOYPS,1232,0,2022-02-08,
PO-4900000757-66,YAMH-483324-I,SOYPS,1045,0,2022-06-08,
PO-4900000356-35,OO-536-MK,SOYPS,4721,0,2022-05-28,
PO-4900000876-35,LO-8485-II,SOYPS,1982,0,2022-07-25,
PO-4900000713-94,YJGKVW-813-K,SOYPS,3990,0,2022-08-18,
PO-4900000134-85,DYGLSO-30794-DF,SOYPS,2508,0,2022-12-11,
PO-4900000544-43,XGDC-853653-WP,SOYPS,4879,0,2022-01-25,
PO-4900000876-38,OJUB-3734-WK,SOYPS,1230,0,2022-01-25,
PO-4900000458-37,CLDGGZ-316-FH,SOYPS,4811,0,2022-06-10,
PO-4900000598-94,AA-36771-H,SOYPS,2190,0,2022-08-02,
PO-4900000626-77,YF-35881-L,SOYPS,4323,0,2022-12-28,
PO-4900000713-23,BOZV-2273-H,SOYPS,4393,0,2022-12-25,
PO-4900000626-66,DCBCH-3734-P,SOYPS,1870,0,2022-05-15,
PO-4900000252-75,RIPO-5815-CG,SOYPS,2893,0,2022-11-25,
PO-4900000137-75,FT-5246-S,SOYPS,4018,0,2022-06-28,
PO-4900000473-85,JE-536-T,SOYPS,4462,0,2022-10-20,
PO-4900000263-77,UXSER-12480-C,SOYPS,4435,0,2022-05-23,
PO-4900000473-37,KCSIV-11434-T,SOYPS,2346,0,2022-04-09,
PO-4900000626-43,YBDDP-688102-BA,SOYPS,4930,0,2022-09-05,
PO-4900000876-95,WNBME-688102-V,SOYPS,4255,0,2022-03-02,
PO-4900000263-94,ZOJKP-4657-II,SOYPS,4624,0,2022-07-21,
PO-4900000733-35,NGRCVV-152-DF,SOYPS,2376,0,2022-06-26,
PO-4900000733-38,ZYPA-494392-BF,SOYPS,3663,0,2022-10-04,
PO-4900000137-94,RIPO-777-II,SOYPS,4358,0,2022-01-09,
PO-4900000263-35,QIGK-39307-P,SOYPS,3931,0,2022-06-30,
